534.10992,94984,95033,94981,95047,95084,94980,94911,95039,95001,95060,95001,95006,95106,94885,94959,94909,94969,94922,94895,94998,94888,95046,94929,95074,94913,95030,95001,94916,94979,95017,94945,94924,94996,94936,94929,94937,94989,94966,95033,94932,95053,94972,94971,94965,95005,94954,95005,95011,95019,94937,94973,94949,94974,94966,94906,95018,94965,95024,94959,94957,94944,94840,94986,95079,94956,95072,95029,94844,94908,95055,94881,94999,94980,94955,95086,94997,95023,95105,95055,95075,95140,94968,94855,94897,94944,94975,95029,95080,94955,94958,94968,94927,95028,95078,94978,95033,95005,94996,95021,94948,
534.17972,95367,95583,95412,95267,95270,95414,95376,95345,95234,95414,95386,95362,95242,95243,95332,95349,95297,95418,95403,95329,95321,95395,95339,95205,95566,95329,95431,95359,95365,95373,95214,95373,95358,95310,95247,95403,95234,95305,95342,95328,95456,95463,95377,95510,95389,95283,95363,95437,95364,95255,95346,95228,95396,95306,95348,95314,95508,95426,95403,95317,95277,95312,95331,95446,95341,95394,95356,95339,95366,95294,95212,95129,95347,95292,95390,95383,95271,95405,95447,95377,95374,95265,95276,95392,95289,95385,95278,95363,95361,95340,95299,95386,95417,95413,95412,95373,95346,95362,95374,95374,
534.24952,94265,94240,94411,94266,94210,94167,94343,94399,94299,94295,94224,94360,94291,94136,94203,94247,94179,94381,94228,94263,94203,94134,94203,94368,94327,94139,94281,94221,94271,94138,94226,94241,94265,94225,94195,94151,94290,94206,94160,94230,94181,94300,94231,94118,94201,94194,94245,94190,94332,94257,94181,94304,94213,94106,94195,94242,94170,94307,94353,94238,94311,94221,94176,94114,94298,94278,94312,94175,94265,94281,94164,94087,94226,94181,94257,94405,94329,94322,94247,94287,94243,94259,94193,94222,94295,94250,94292,94362,94376,94297,94294,94175,94282,94141,94208,94298,94168,94351,94275,94283,
534.31933,95361,95279,95184,95284,95274,95164,95278,95294,95333,95250,95268,95197,95187,95186,95321,95220,95162,95176,95288,95255,95271,95223,95337,95259,95291,95236,95242,95303,95275,95231,95136,95244,95246,95254,95209,95270,95271,95197,95138,95103,95195,95144,95182,95277,95274,95153,95246,95269,95184,95181,95219,95153,95328,95323,95120,95253,95369,95203,95179,95197,95189,95282,95266,95199,95106,95214,95175,95163,95174,95207,95178,95181,95219,95309,95295,95143,95237,95248,95302,95241,95329,95087,95305,95039,95248,95340,95234,95196,95113,95249,95243,95142,95227,95179,95258,95252,95205,95260,95176,95214,
534.38913,94474,94581,94519,94482,94357,94534,94590,94552,94440,94550,94613,94459,94571,94530,94543,94581,94493,94426,94609,94565,94462,94468,94502,94550,94437,94534,94475,94606,94564,94540,94500,94464,94457,94576,94687,94485,94613,94431,94423,94588,94428,94471,94560,94538,94480,94466,94513,94346,94474,94449,94480,94553,94395,94510,94484,94578,94574,94616,94572,94526,94415,94489,94427,94549,94527,94597,94591,94479,94439,94576,94471,94529,94572,94457,94567,94541,94479,94554,94512,94520,94485,94489,94458,94472,94534,94517,94557,94630,94585,94518,94664,94500,94479,94490,94457,94506,94566,94597,94544,94447,
534.45893,95600,95779,95629,95767,95659,95660,95529,95659,95672,95732,95597,95592,95715,95853,95767,95583,95587,95680,95734,95713,95739,95792,95781,95608,95620,95764,95697,95668,95516,95692,95748,95758,95835,95678,95813,95778,95744,95688,95742,95640,95726,95613,95787,95613,95776,95653,95625,95822,95723,95781,95733,95745,95664,95620,95739,95817,95659,95726,95760,95748,95674,95747,95681,95824,95782,95629,95746,95708,95658,95641,95758,95728,95667,95794,95576,95800,95614,95620,95739,95569,95839,95830,95686,95639,95769,95828,95666,95547,95740,95604,95694,95718,95792,95614,95705,95750,95608,95795,95627,95646,
534.52872,94882,94910,94853,94910,94883,94841,94907,94936,94926,94889,94984,94961,94936,94937,94935,94962,94873,94761,94811,95049,94938,94925,94871,95003,95035,94944,94839,94917,94840,94886,94941,94900,94818,95017,94989,95146,94958,94816,94876,94789,94868,94924,94928,94924,94878,94935,94915,94992,94918,94883,94774,94805,94866,94904,94876,95090,95058,94914,94873,94842,94802,94800,94896,94992,94994,94871,94842,94677,94967,94948,94778,94922,94832,94809,94980,94921,95032,94991,94975,94972,94867,94971,94814,94803,94798,94933,94753,94971,94909,94876,94963,94943,94822,94913,94866,94980,94811,94962,94874,94914,
534.59852,95758,95861,95791,95847,95748,95722,95832,95856,95806,95776,95929,95825,95695,95785,95868,95778,95788,95775,95863,95849,95870,95833,95762,95761,95884,95769,95841,95854,95765,95781,95816,95778,95666,95789,95835,95831,95897,95760,95909,95805,95798,95791,95799,95878,95833,95912,95782,95859,95861,95832,95969,95968,95764,95837,95853,95761,96012,95860,95885,95707,95839,95730,95800,95819,95808,95886,95744,95922,95816,95901,95786,95818,96037,95749,95896,96073,95805,95810,95896,95747,95830,95791,95758,95905,95860,95886,95810,95743,95898,95815,95873,95821,95702,95871,95867,95792,95965,95740,95824,95776,
534.66832,94433,94605,94602,94542,94509,94574,94545,94452,94534,94466,94396,94478,94456,94544,94473,94574,94522,94640,94419,94610,94526,94536,94533,94538,94497,94479,94491,94620,94481,94499,94566,94593,94380,94606,94601,94550,94566,94576,94545,94395,94592,94554,94505,94523,94607,94569,94595,94456,94499,94575,94604,94473,94500,94591,94456,94572,94438,94536,94454,94524,94414,94471,94438,94609,94514,94569,94418,94505,94422,94626,94476,94461,94517,94576,94476,94543,94564,94652,94508,94577,94499,94466,94456,94445,94411,94327,94424,94548,94499,94525,94576,94438,94574,94615,94656,94576,94506,94415,94617,94757,
534.73812,95066,95094,95241,95222,95051,95027,95203,95261,95218,95215,95148,95131,95174,95207,95193,95108,95092,95176,95237,95186,95052,95152,95152,95090,95270,95212,95178,95209,95193,95100,95172,95222,95133,95213,95311,95187,95325,95207,95178,95163,95330,95160,95257,95281,95251,95148,95341,95130,95211,95106,95166,95171,95139,95231,95296,95104,95347,95251,95169,95240,95146,95197,95135,95310,95253,95287,95163,95210,95148,95154,95179,95093,95225,95155,95210,95199,95137,95157,95215,95242,95120,95121,95220,95132,95238,95263,95209,95255,95122,95151,95229,95208,95205,95074,95238,95112,95260,95187,95193,95179,
